token,sentence,index,lemma,pos,sentiment,start,paragraph,docPosition,sentPosition,IOB,isPunc,followsPunc,precedesPunc
Therefore,14,1,therefore,RB,Neutral,1917,2,Body,First,O,False,True,False
without,14,2,without,IN,Neutral,1927,2,Body,Middle,Arg-B,False,False,False
the,14,3,the,DT,Neutral,1935,2,Body,Middle,Arg-I,False,False,False
cooperation,14,4,cooperation,NN,Neutral,1939,2,Body,Middle,Arg-I,False,False,True
",",14,5,",",",",,1951,2,Body,Middle,Arg-I,True,False,False
there,14,6,there,EX,Neutral,1952,2,Body,Middle,Arg-I,False,True,False
would,14,7,would,MD,Neutral,1958,2,Body,Middle,Arg-I,False,False,False
be,14,8,be,VB,Neutral,1964,2,Body,Middle,Arg-I,False,False,False
no,14,9,no,DT,Negative,1967,2,Body,Middle,Arg-I,False,False,False
victory,14,10,victory,NN,Neutral,1970,2,Body,Middle,Arg-I,False,False,False
of,14,11,of,IN,Neutral,1978,2,Body,Middle,Arg-I,False,False,False
competition,14,12,competition,NN,Neutral,1981,2,Body,Middle,Arg-I,False,False,True
.,14,13,.,.,,1993,2,Body,Last,O,True,False,False
Consequently,15,1,consequently,RB,Neutral,1994,3,Conclusion,First,O,False,True,True
",",15,2,",",",",,2007,3,Conclusion,Middle,O,True,False,False
no,15,3,no,RB,Negative,2008,3,Conclusion,Middle,O,False,True,False
matter,15,4,matter,RB,Neutral,2011,3,Conclusion,Middle,O,False,False,False
from,15,5,from,IN,Neutral,2018,3,Conclusion,Middle,O,False,False,False
the,15,6,the,DT,Neutral,2023,3,Conclusion,Middle,O,False,False,False
view,15,7,view,NN,Neutral,2027,3,Conclusion,Middle,O,False,False,False
of,15,8,of,IN,Neutral,2032,3,Conclusion,Middle,O,False,False,False
individual,15,9,individual,JJ,Neutral,2035,3,Conclusion,Middle,O,False,False,False
development,15,10,development,NN,Neutral,2046,3,Conclusion,Middle,O,False,False,False
or,15,11,or,CC,Neutral,2058,3,Conclusion,Middle,O,False,False,False
the,15,12,the,DT,Neutral,2061,3,Conclusion,Middle,O,False,False,False
relationship,15,13,relationship,NN,Neutral,2065,3,Conclusion,Middle,O,False,False,False
between,15,14,between,IN,Neutral,2078,3,Conclusion,Middle,O,False,False,False
competition,15,15,competition,NN,Neutral,2086,3,Conclusion,Middle,O,False,False,False
and,15,16,and,CC,Neutral,2098,3,Conclusion,Middle,O,False,False,False
cooperation,15,17,cooperation,NN,Neutral,2102,3,Conclusion,Middle,O,False,False,False
we,15,18,we,PRP,Neutral,2114,3,Conclusion,Middle,O,False,False,False
can,15,19,can,MD,Neutral,2117,3,Conclusion,Middle,O,False,False,False
receive,15,20,receive,VB,Positive,2121,3,Conclusion,Middle,O,False,False,False
the,15,21,the,DT,Neutral,2129,3,Conclusion,Middle,O,False,False,False
same,15,22,same,JJ,Neutral,2133,3,Conclusion,Middle,O,False,False,False
conclusion,15,23,conclusion,NN,Neutral,2138,3,Conclusion,Middle,O,False,False,False
that,15,24,that,IN,Neutral,2149,3,Conclusion,Middle,O,False,False,False
a,15,25,a,DT,Neutral,2154,3,Conclusion,Middle,Arg-B,False,False,False
more,15,26,more,RBR,Neutral,2156,3,Conclusion,Middle,Arg-I,False,False,False
cooperative,15,27,cooperative,JJ,Neutral,2161,3,Conclusion,Middle,Arg-I,False,False,False
attitudes,15,28,attitude,NNS,Neutral,2173,3,Conclusion,Middle,Arg-I,False,False,False
towards,15,29,towards,IN,Neutral,2183,3,Conclusion,Middle,Arg-I,False,False,False
life,15,30,life,NN,Positive,2191,3,Conclusion,Middle,Arg-I,False,False,False
is,15,31,be,VBZ,Neutral,2196,3,Conclusion,Middle,Arg-I,False,False,False
more,15,32,more,RBR,Neutral,2199,3,Conclusion,Middle,Arg-I,False,False,False
profitable,15,33,profitable,JJ,Neutral,2204,3,Conclusion,Middle,Arg-I,False,False,False
in,15,34,in,IN,Neutral,2215,3,Conclusion,Middle,Arg-I,False,False,False
one,15,35,one,CD,Neutral,2218,3,Conclusion,Middle,Arg-I,False,False,False
's,15,36,'s,POS,,2222,3,Conclusion,Middle,Arg-I,False,False,False
success,15,37,success,NN,Positive,2225,3,Conclusion,Middle,Arg-I,False,False,True
.,15,38,.,.,,2233,3,Conclusion,Last,O,True,False,False
